,query
1,"Which country has sovereignty over Abyei?"
2,"Which country has sovereignty over Heglig?"
3,"Which country has sovereignty over Kafia Kingi?"
4,"Which country has sovereignty over Banc du Geyser?"
5,"Which country has sovereignty over Bassas da India?"
6,"Which country has sovereignty over Europa Island?"
7,"Which country has sovereignty over Juan de Nova Island?"
8,"Which country has sovereignty over Ceuta?"
9,"Which country has sovereignty over Melilla?"
10,"Which country has sovereignty over the “plazas de soberanía”?"
11,"Which country has sovereignty over the Chagos Archipelago?"
12,"Which country has sovereignty over Doumeira Mountain?"
13,"Which country has sovereignty over Ras Doumeira?"
14,"Which country has sovereignty over Doumeira Island?"
15,"Which country has sovereignty over the Glorioso Islands?"
16,"Which country has sovereignty over the Hala’ib Triangle?"
17,"Which country has sovereignty over the Ilemi Triangle?"
18,"Which country has sovereignty over KaNgwane?"
19,"Which country has sovereignty over Ingwavuma?"
20,"Which country has sovereignty over Koalou?"
21,"Which country has sovereignty over Kpéaba?"
22,"Which country has sovereignty over Sipilou?"
23,"Which country has sovereignty over Logoba?"
24,"Which country has sovereignty over Moyo District?"
25,"Which country has sovereignty over Chiengi?"
26,"Which country has sovereignty over Lunchinda‑Pweto Province?"
27,"Which country has sovereignty over the Lunkinda River?"
28,"Which country has sovereignty over Pweto?"
29,"Which country has sovereignty over Mayotte?"
30,"Which country has sovereignty over Mbamba Bay?"
31,"Which country has sovereignty over Lake Nyasa?"
32,"Which country has sovereignty over Mbañie Island?"
33,"Which country has sovereignty over Cocotiers?"
34,"Which country has sovereignty over Congas Island?"
35,"Which country has sovereignty over Migingo Island?"
36,"Which country has sovereignty over Lolwe?"
37,"Which country has sovereignty over Oyasi?"
38,"Which country has sovereignty over Remba?"
39,"Which country has sovereignty over Ringiti?"
40,"Which country has sovereignty over Sigulu?"
41,"Which country has sovereignty over Lake Victoria?"
42,"Which country has sovereignty over the Congo River?"
43,"Which country has sovereignty over the Ntem River?"
44,"Which country has sovereignty over the Okpara River?"
45,"Which country has sovereignty over Rukwanzi Island?"
46,"Which country has sovereignty over the Semliki River?"
47,"Which country has sovereignty over Sindabezi Island?"
48,"Which country has sovereignty over the Socotra Archipelago?"
49,"Which country has sovereignty over Tromelin Island?"
50,"Which country has sovereignty over the Wadi Halfa Salient?"
51,"Which country has sovereignty over Oued Tourndo?"
52,"Which country has sovereignty over Bajo Nuevo Bank?"
53,"Which country has sovereignty over Conejo Island?"
54,"Which country has sovereignty over Navassa Island?"
55,"Which country has sovereignty over the Sapodilla Cayes?"
56,"Which country has sovereignty over Serranilla Bank?"
57,"Which country has sovereignty over Guayana Esequiba?"
58,"Which country has sovereignty over the Essequibo River?"
59,"Which country has sovereignty over Ankoko Island/Isla de Anacoco?"
60,"Which country has sovereignty over Arroyo de la Invernada?"
61,"Which country has sovereignty over Rincón de Artigas?"
62,"Which country has sovereignty over Vila Albornoz?"
63,"Which country has sovereignty over the Falkland Islands?"
64,"Which country has sovereignty over South Georgia and the South Sandwich Islands?"
65,"Which country has sovereignty over French Guiana?"
66,"Which country has sovereignty over the Marouini River?"
67,"Which country has sovereignty over the Tigri Area?"
68,"Which country has sovereignty over the Courantyne River?"
69,"Which country has sovereignty over Isla Brasilera/Ilha Brasileira?"
70,"Which country has sovereignty over Isla Suárez/Ilha de Guajará‑mirim?"
71,"Which country has sovereignty over the Southern Patagonian Ice Field?"
72,"Which country has sovereignty over the Ashmore and Cartier Islands?"
73,"Which country has sovereignty over Aarsal?"
74,"Which country has sovereignty over Deir El Aachayer?"
75,"Which country has sovereignty over Kfar Qouq?"
76,"Which country has sovereignty over Mazraat Deir al‑Ashayer?"
77,"Which country has sovereignty over Qaa?"
78,"Which country has sovereignty over Qasr?"
79,"Which country has sovereignty over Tuffah?"
80,"Which country has sovereignty over the Shatt al‑Arab?"
81,"Which country has sovereignty over Abu Musa?"
82,"Which country has sovereignty over the Greater and Lesser Tunbs?"
83,"Which country has sovereignty over Bukit Jeli?"
84,"Which country has sovereignty over Azad Kashmir?"
85,"Which country has sovereignty over Gilgit‑Baltistan?"
86,"Which country has sovereignty over Jammu and Kashmir?"
87,"Which country has sovereignty over Ladakh?"
88,"Which country has sovereignty over Junagadh and Manavadar?"
89,"Which country has sovereignty over the David Gareja monastery complex?"
90,"Which country has sovereignty over Doi Lang?"
91,"Which country has sovereignty over Fasht ad Dibal?"
92,"Which country has sovereignty over Qit‘at Jaradah?"
93,"Which country has sovereignty over the Fergana Valley?"
94,"Which country has sovereignty over the Isfara Valley?"
95,"Which country has sovereignty over Ambalat?"
96,"Which country has sovereignty over the Golan Heights?"
97,"Which country has sovereignty over Hatay Province?"
98,"Which country has sovereignty over the Shebaa Farms?"
99,"Which country has sovereignty over the Green Line?"
100,"Which country has sovereignty over the West Bank?"
101,"Which country has sovereignty over East Jerusalem?"
102,"Which country has sovereignty over the Gaza Strip?"
103,"Which country has sovereignty over Kalapani?"
104,"Which country has sovereignty over the Susta River dispute?"
105,"Which country has sovereignty over Antudanda?"
106,"Which country has sovereignty over Artsvashen?"
107,"Which country has sovereignty over the Gegharkunik province?"
108,"Which country has sovereignty over Karki?"
109,"Which country has sovereignty over the Nakhichevan Autonomous Republic?"
110,"Which country has sovereignty over Yukhari Askipara?"
111,"Which country has sovereignty over Barkhudarli?"
112,"Which country has sovereignty over Qazakh Rayon?"
113,"Which country has sovereignty over Yaradullu?"
114,"Which country has sovereignty over the Khuriya Muriya Islands?"
115,"Which country has sovereignty over the Korean Peninsula?"
116,"Which country has sovereignty over the South Kuril/Chishima Islands?"
117,"Which country has sovereignty over the Kuril/Chishima Islands?"
118,"Which country has sovereignty over Sakhalin?"
119,"Which country has sovereignty over Dokdo/Takeshima?"
120,"Which country has sovereignty over the Mekong River (the portion in question)?"
121,"Which country has sovereignty over the Naf River?"
122,"Which country has sovereignty over Noktundo?"
123,"Which country has sovereignty over Pedra Branca?"
124,"Which country has sovereignty over the Singapore Strait?"
125,"Which country has sovereignty over Point 20?"
126,"Which country has sovereignty over O’Tangav?"
127,"Which country has sovereignty over Stung Treng Province?"
128,"Which country has sovereignty over Preah Vihear Temple?"
129,"Which country has sovereignty over Khao Phra Wihan?"
130,"Which country has sovereignty over Qaruh?"
131,"Which country has sovereignty over Umm al Maradim?"
132,"Which country has sovereignty over Sabah?"
133,"Which country has sovereignty over North Borneo?"
134,"Which country has sovereignty over the Siachen Glacier?"
135,"Which country has sovereignty over the Saltoro Ridge?"
136,"Which country has sovereignty over Sir Creek?"
137,"Which country has sovereignty over the Three Pagodas Pass?"
138,"Which country has sovereignty over Ukatnyy?"
139,"Which country has sovereignty over Zhestky?"
140,"Which country has sovereignty over Malyy Zhemchuzhnyy?"
141,"Which country has sovereignty over Ungar‑Too?"
142,"Which country has sovereignty over Vozrozhdeniya Island?"
143,"Which country has sovereignty over Crimea?"
144,"Which country has sovereignty over Sevastopol?"
145,"Which country has sovereignty over Donetsk Oblast?"
146,"Which country has sovereignty over Kherson Oblast?"
147,"Which country has sovereignty over Luhansk Oblast?"
148,"Which country has sovereignty over Zaporizhzhia Oblast?"
149,"Which country has sovereignty over the Kinburn Peninsula?"
150,"Which country has sovereignty over Mykolaiv Oblast?"
151,"Which country has sovereignty over Snihurivka?"
152,"Which country has sovereignty over Imia/Kardak?"
153,"Which country has sovereignty over the Mont Blanc summit dispute?"
154,"Which country has sovereignty over Gibraltar?"
155,"Which country has sovereignty over Rockall?"
156,"Which country has sovereignty over Olivenza?"
157,"Which country has sovereignty over Vila Real?"
158,"Which country has sovereignty over Táliga?"
159,"Which country has sovereignty over the Island of Šarengrad?"
160,"Which country has sovereignty over the Island of Vukovar?"
161,"Which country has sovereignty over Sveta Gera?"
162,"Which country has sovereignty over the Drina River?"
163,"Which country has sovereignty over Prevlaka?"
164,"Which country has sovereignty over Sastavci?"
165,"Which country has sovereignty over the Dragonja River?"
166,"Which country has sovereignty over Matthew Island and Hunter Island?"
167,"Which country has sovereignty over the Minerva Reefs?"
168,"Which country has sovereignty over Swains Island?"
169,"Which country has sovereignty over Wake Island?"
170,"Which country has sovereignty over Abagaitu Islet?"
171,"Which country has sovereignty over the Depsang Plains?"
172,"Which country has sovereignty over Aksai Chin?"
173,"Which country has sovereignty over Arunachal Pradesh?"
174,"Which country has sovereignty over Bạch Long Vĩ Island?"
175,"Which country has sovereignty over Baekdu Mountain?"
176,"Which country has sovereignty over Beyul Khenpajong?"
177,"Which country has sovereignty over Menchuma Valley?"
178,"Which country has sovereignty over Chagdzom?"
179,"Which country has sovereignty over the Bhutanese exclaves?"
180,"Which country has sovereignty over Tibet?"
181,"Which country has sovereignty over Cherkip Gompa?"
182,"Which country has sovereignty over Dungmar?"
183,"Which country has sovereignty over Gesur?"
184,"Which country has sovereignty over Gezon?"
185,"Which country has sovereignty over Itse Gompa?"
186,"Which country has sovereignty over Khochar?"
187,"Which country has sovereignty over Nyanri?"
188,"Which country has sovereignty over Ringung?"
189,"Which country has sovereignty over Sanmar?"
190,"Which country has sovereignty over Darchen?"
191,"Which country has sovereignty over Doklam?"
192,"Which country has sovereignty over Zuthulphuk?"
193,"Which country has sovereignty over Dadivank?"
194,"Which country has sovereignty over the Demchok sector/Parigas region?"
195,"Which country has sovereignty over Chumar?"
196,"Which country has sovereignty over Gue?"
197,"Which country has sovereignty over Kaurik?"
198,"Which country has sovereignty over Shipki La?"
199,"Which country has sovereignty over Tashigang?"
200,"Which country has sovereignty over Barahoti?"
201,"Which country has sovereignty over Lapthal?"
202,"Which country has sovereignty over Jadhang?"
203,"Which country has sovereignty over Nelang?"
204,"Which country has sovereignty over Pulam Sumda?"
205,"Which country has sovereignty over Sang?"
206,"Which country has sovereignty over James Shoal?"
207,"Which country has sovereignty over Macclesfield Bank?"
208,"Which country has sovereignty over Mainland China?"
209,"Which country has sovereignty over Hainan?"
210,"Which country has sovereignty over Heixiazi Island?"
211,"Which country has sovereignty over Bolshoy Ussuriysky Island?"
212,"Which country has sovereignty over Hong Kong?"
213,"Which country has sovereignty over Jiangxinpo?"
214,"Which country has sovereignty over Khan Tengri?"
215,"Which country has sovereignty over Boz‑Tik?"
216,"Which country has sovereignty over Bedel Pass?"
217,"Which country has sovereignty over Uzongu‑Kuush?"
218,"Which country has sovereignty over Erkeshtam?"
219,"Which country has sovereignty over Kosovo?"
220,"Which country has sovereignty over Kula Kangri?"
221,"Which country has sovereignty over Haa District?"
222,"Which country has sovereignty over Kutuzov Island?"
223,"Which country has sovereignty over the Lachin corridor?"
224,"Which country has sovereignty over Macau?"
225,"Which country has sovereignty over the Namwan Assigned Tract?"
226,"Which country has sovereignty over Outer Mongolia?"
227,"Which country has sovereignty over the Pamir Mountains?"
228,"Which country has sovereignty over the Paracel Islands?"
229,"Which country has sovereignty over Parangcho?"
230,"Which country has sovereignty over Rasu?"
231,"Which country has sovereignty over Kimathanka?"
232,"Which country has sovereignty over Nara Pass?"
233,"Which country has sovereignty over Tingribode?"
234,"Which country has sovereignty over Mount Everest?"
235,"Which country has sovereignty over Scarborough Shoal?"
236,"Which country has sovereignty over Sakteng Wildlife Sanctuary?"
237,"Which country has sovereignty over the Senkaku Islands?"
238,"Which country has sovereignty over the Shaksgam Valley?"
239,"Which country has sovereignty over “Sixty‑Four Villages East of the River”?"
240,"Which country has sovereignty over the Spratly Islands?"
241,"Which country has sovereignty over Taiwan?"
242,"Which country has sovereignty over Penghu?"
243,"Which country has sovereignty over Kinmen?"
244,"Which country has sovereignty over Matsu?"
245,"Which country has sovereignty over Pratas Island?"
246,"Which country has sovereignty over the Vereker Banks?"
247,"Which country has sovereignty over the Trans‑Karakoram Tracts?"
248,"Which country has sovereignty over Tannu Uriankhai?"
249,"Which country has sovereignty over the Tumen River?"
250,"Which country has sovereignty over the Wakhan Corridor?"
251,"Which country has sovereignty over the Yalu River?"
